"SESSIONE","VERSIONE_MAPPING","ETA","SESSO_M_F","CITTA_RESIDENZA","OCCUPAZIONE","TITOLO_STUDIO","ASCOLTATORE_ABITUALE_SI_NO","DEVICE_FRUIZIONE","CONTESTO","GENERI","DATI_PERCEPITO_1","DATI_PERCEPITO_2","DATI_PERCEPITO_3","DATI_PERCEPITO_4","DATI_PERCEPITO_5","DATI_PERCEPITO_6","DATI_PERCEPITO_7","DATI_PERCEPITO_8","DATI_PERCEPITO_9","DATI_PERCEPITO_10","NUM_CORRISPONDENZE_1_7","SUGGERIMENTI_NEBBIA","SUGGERIMENTI_PIOGGIA","SUGGERIMENTI_PIOGGERELLA","SUGGERIMENTI_SERENO_SOLEGGIATO","SUGGERIMENTI_NUVOLOSO","SUGGERIMENTI_TEMPORALE","SUGGERIMENTI_URAGANO_NUBIFRAGIO","SUGGERIMENTI_NEVE","EFFICACIA","TIPO_DATO_SUGGERITO","INCURIOSITO","COMMENTO_LIBERO"
"LABPROG121219","V1",20,"M","Bergamo","Studente","Superiori","SI","MP3","Casa: Mezzi: Bagno: Letto: Passeggiando","Tutti","Vento","Nebbia","Soleggiato Caldo","Sereno","Nebbia: Pioggia","Neve","Pioggerella",,,,,"Nebbia : METAL ESTREMO - GRIGIO"," Pioggia : TRISTE - BLU"," Pioggerella : CHITARRA ACUSTICA - azzurro"," Sereno/Soleggiato : COUNTRY:REGGAETON - GIALLO"," Nuvoloso : 883 - GRIGIO"," Temporale : BLU SCURO"," Uragano/Nubifragio : Classica potente   MARRONE "," Neve :  MUSICHE NATALIZIE   BIANCO ",2,,3,
"LABPROG121219","V1",21,"F","Cinisello Balsamo","Studente","Superiori","SI","Radio: App streaming","Casa: Mezzi: Auto: Letto: Passeggiando","Rock e cantautori","Temporale Estivo: Sereno","Tempesta","Pioggerella","Soleggiato Caldo","Vento forte","Nebbia","Neve",,,,,"Nebbia : ROCK CLASSICO - GRIGIO"," Pioggia :  BLU"," Pioggerella : INDIE POP - azzurro"," Sereno/Soleggiato : SPAGNOLE:REGGAETON - GIALLO"," Nuvoloso :  NERO"," Temporale : VIOLA"," Uragano/Nubifragio : HEAVY METAL   ROSSO "," Neve :  MUSICHE NATALIZIE   BIANCO ",2,"Odori: sensazioni tattili ",3,
"LABPROG121219","V1",19,"M","Milano","Studente","Superiori","SI","Radio: Webradio: MP3: App streaming","Casa:  Auto: Mezzi","Tutti","Sereno","Tempesta","Vento","Soleggiato Caldo","-","Pioggerella","Neve",,,,,"Nebbia : rumori "," Pioggia :  -"," Pioggerella : chill"," Sereno/Soleggiato : tropicale"," Nuvoloso :  -"," Temporale : hard rock/metal"," Uragano/Nubifragio : death METAL "," Neve :  Lirica /pianofort",1,"condizione di vita delle persone",2,"(critica) generi e brani troppo variabili"
"LABPROG121219","V1",19,"M","Milano","Studente","Superiori","SI","CD: MP3: App streaming","Casa:  Auto: Mezzi: Passeggiando","Tutti","Sereno","Grandine","Pioggia","Sereno","Temporale","Pioggerella","Neve",,,,,"Nebbia : rumore bianco"," Pioggia :  flamenco"," Pioggerella : bastone della pioggia"," Sereno/Soleggiato : classica allegra"," Nuvoloso :  musica lenta"," Temporale : tempi veloci e netti"," Uragano/Nubifragio : tempi veloci e confusione "," Neve :  musica nataliza",2,"stagioni",2,"(critica) generi e brani troppo variabili"
"LABPROG121219","V1",22,"F","Milano","Studente","Superiori","SI","App streaming","Casa:  Auto: Mezzi: Passeggiando","Rock: pop: indie: classica","Neve","Temporale","Pioggerella","Sereno","Temporale","Pioggerella","Sereno",,,,,"Nebbia : musica impressionista"," Pioggia :  LOFI"," Pioggerella : -"," Sereno/Soleggiato : JAZZ"," Nuvoloso : "," Temporale : "," Uragano/Nubifragio :  "," Neve :",2,,3,
"LABPROG121219","V1",20,"M","Cassano d adda","Studente","Superiori","SI","Vinile","Casa","Giapponese","Pioggerella","Tempesta","Pioggerella","Sereno","-","Pioggia","Sereno",,,,,"Nebbia : grigio"," Pioggia :  blu"," Pioggerella : azzurro"," Sereno/Soleggiato : giallo"," Nuvoloso :  grigio"," Temporale : "," Uragano/Nubifragio : "," Neve :  musica nataliza   BIANCO",1,,1,
"LABPROG121219","V1",34,"M","Lissone","Impiegato","Superiori","SI","App streaming","Auto: Allenamento","Tutti","Sereno","Temporale","Soleggiato Caldo","Pioggerella","Grandine","Pioggia","Neve",,,,,"Nebbia : rumore bianco"," Pioggia :  lofi"," Pioggerella : tamburelli"," Sereno/Soleggiato : classica allegra"," Nuvoloso :  rap"," Temporale : Metal"," Uragano/Nubifragio : tribale"," Neve :  musica nataliza",2,,2,
"LABPROG121219","V1",23,"M","Busto Arsizio","Studente","Laurea","SI","App streaming","Casa: Auto:Mezzi: Bagno: Letto: Passeggiando","Tutti","Pioggerella","-","Soleggiato","Soleggiato Caldo","-","Pioggia","Nuvoloso",,,,,"-",,,,,,,,3,,3,"considerare ora e stagione"
"LABPROG121219","V1",19,"M","Como","Studente","Superiori","SI","Radio: Webradio: App streaming","Casa: Auto:Mezzi: Bagno: Letto: Passeggiando","Tutti","Pioggia","Tempesta","Pioggerella","Soleggiato","Temporale","Pioggerella","Nuvoloso",,,,,"Nebbia : musica lenta"," Pioggia :  -"," Pioggerella : piano solo"," Sereno/Soleggiato : "," Nuvoloso :  piano solo"," Temporale : Metal"," Uragano/Nubifragio : metal"," Neve :",2,"umore",2,
"LABPROG121219","V1",19,"M","Comiso","Studente","Superiori","SI","App streaming","Casa: Allenamento","Hip Hop","Temporale","Tempesta","Soleggiato","Soleggiato","Vento","Pioggia","Tramonto(?)",,,,,"Nebbia : bianco"," Pioggia :  blu"," Pioggerella : azzurro"," Sereno/Soleggiato : arancione"," Nuvoloso :  grigio"," Temporale : nero"," Uragano/Nubifragio : verde"," Neve :  musica nataliza   BIANCO",3,,2,
"LABPROG121219","V1",20,"M","Bareggio","Studente","Superiori","SI","App streaming","Casa: Mezzi","Tutti","Tempesta","Tornado","Sereno","Sereno","Vento","Pioggerella","Sera(?)",,,,,"Nebbia : grigio"," Pioggia :  grigio"," Pioggerella : viola"," Sereno/Soleggiato : arancione"," Nuvoloso :  -"," Temporale : verde"," Uragano/Nubifragio : azzurro"," Neve : BIANCO",1,"emozioni(?)",2,
"LABPROG121219","V1",19,"M","Bareggio","Studente","Superiori","SI","Radio: App streaming","Casa: Mezzi: Allenamento: Passeggiando","Elettronica","Nuvoloso","Acquazzone","Sereno","Soleggiato","Grandine","Neve: Pioggerella","Sera(?)",,,,,"Nebbia : grigio chiaro"," Pioggia :  grigio"," Pioggerella : grigio chiaro"," Sereno/Soleggiato : musica africana - azzurro"," Nuvoloso :  grigio"," Temporale : classica - nero"," Uragano/Nubifragio : metal   nero:rosso"," Neve : musica natalizia   azzurro",3,"intensita del suono(?)",3,
"LABPROG121219","V1",20,"M","Milano","Studente","Superiori","SI","App streaming","Casa: Auto:Mezzi: Bagno: Letto: Allenamento","Tutti","Temporale","Tempesta","Soleggiato","Soleggiato","Vento","Pioggia","Tramonto invernale sereno(?)",,,,,"Nebbia : bianco"," Pioggia :  blu"," Pioggerella : azzurro"," Sereno/Soleggiato : arancione giallo"," Nuvoloso :  grigio: verde acqua"," Temporale : grigio chiaro: viola"," Uragano/Nubifragio : grigio scuro"," Neve : bianco",2,,2,"idea carina per IOT"
"LABPROG121219","V1",19,"F","Cassano d adda","Studente","Superiori","SI","MP3: App streaming","Casa:Mezzi: Bagno: Letto: Passeggiando","Classica: Indie: Pop","Tempesta","Grandine","Soleggiato Caldo e Umido","Sereno","Pioggia forte","Brina","Neve",,,,,"Nebbia : grigio"," Pioggia :  blu"," Pioggerella : classica - azzurro"," Sereno/Soleggiato : giallo"," Nuvoloso :  viola"," Temporale : bordeaux"," Uragano/Nubifragio : rosso"," Neve : bianco",3,,3,"(ci fa i complimenti)"
"LABPROG121219","V1",20,"M","Novara","Studente","Superiori","SI","App streaming","Casa: Lavoro: Mezzi: Letto: Passeggiando","Pop: Rap: R&B: Raggaeton","Tempesta","Bufera","Tramonto(?)","Sereno","Grandine","Nebbia: Foschia","Neve",,,,,"Nebbia : grigio"," Pioggia :  grigio"," Pioggerella :  grigio"," Sereno/Soleggiato : giallo"," Nuvoloso :  verde"," Temporale : marrone"," Uragano/Nubifragio : nero"," Neve : bianco",3,,3,
"LABPROG121219","V1",19,"F","San Donato","Studente","Superiori","SI","CD: MP3: App streaming","Casa: Lavoro: Auto:Mezzi: Bagno: Letto: Allenamento","Pop: R&B: Soul: Gospel","Temporale","Bufera","Soleggiato Caldo e Umido","Brezza","Grandine","Pioggerella","Neve",,,,,"Nebbia : bianco"," Pioggia :  blu"," Pioggerella :  jazz"," Sereno/Soleggiato : pop"," Nuvoloso :  soul"," Temporale : nero"," Uragano/Nubifragio : rock"," Neve : canzoni di natale",3,"profumi",3,
"LABPROG121219","V1",19,"M","Magenta","Studente","Superiori","SI","App streaming","Casa: Auto:Mezzi: Bagno: Letto: Allenamento","Pop: Rap: EDM","Temporale","Tempesta","Soleggiato Caldo","Brezza","Grandine","Nebbia: Foschia","Neve",,,,,"Nebbia : grigio"," Pioggia :  azzurro"," Pioggerella :  blu"," Sereno/Soleggiato : canzoni VELOCI - azzurro"," Nuvoloso :  azurro scuro"," Temporale : Blu scuro"," Uragano/Nubifragio : rock - nero"," Neve : jazz   bianco",3,,3,
"LABPROG121219","V1",19,"M","Buscate","Studente","Superiori","SI","Radio: MP3: App streaming","Casa: Auto:Mezzi: Bagno: Letto: Allenamento","EDM: Rock","Temporale","Tornado","Soleggiato Caldo","Brezza","Grandine","Pioggia","Neve",,,,,"Nebbia : country - grigio"," Pioggia :  azzurro"," Pioggerella : classica   verde acqua"," Sereno/Soleggiato : arancione giallo"," Nuvoloso :  grigio"," Temporale : Blu"," Uragano/Nubifragio : dance - azzurro "," Neve : jazz   bianco",3,,4,
"LABPROG121219","V1",19,"M","Milano","Studente","Superiori","SI","Radio: CD: Vinile: MP3","Auto: Mezzi: Allenamento","Pop: Rock","Soleggiato","Temporale","Soleggiato","Sereno","Temporale","Nebbia","Neve",,,,,"Nebbia : colori freddi"," Pioggia :  Rap"," Pioggerella : musica rilassante"," Sereno/Soleggiato : pop   colori caldi"," Nuvoloso :  grigio"," Temporale : Blu"," Uragano/Nubifragio : musica rilassante"," Neve : canzoni natalizie",2,"Sentimenti",3,
"LABPROG121219","V1",19,"M","Milano","Studente","Superiori","SI","CD: MP3: App streaming","Casa: Mezzi: Allenamento: Passeggiando","Pop","Soleggiato","Tempesta","Soleggiato Caldo Umido","Soleggiato","Temporale","Pioggerella","Neve",,,,,"Nebbia : grigio - nostalgico"," Pioggia :  Blu - nostalgico"," Pioggerella : azzurro - nostalgico"," Sereno/Soleggiato : pop   giallo"," Nuvoloso : trap - panna"," Temporale : rap - grigio"," Uragano/Nubifragio : metal - nero"," Neve : blues   bianco",2,"gusto: sentimenti: orario",3,
"LABPROG121219","V1",19,"M","Sesto San Giovanni","Studente","Superiori","SI","MP3: App streaming","Casa: Mezzi","Tutti","Temporale","Soleggiato Caldo","Soleggiato","Soleggiato","Neve","Pioggia","Neve",,,,,"Nebbia : ambient"," Pioggia :  white noise"," Pioggerella : white noise"," Sereno/Soleggiato : Upbeat : veloce"," Nuvoloso : Blues"," Temporale : orchestra movimentata"," Uragano/Nubifragio : orchestra movimentata"," Neve : musica natalizia",3,,3,"Preferenze immesse dall utente : Testi"
"LABPROG121219","V1",19,"M","Milano","Studente","Superiori","SI","Radio: CD: Vinile: MP3: App streaming","Casa:  Auto: Mezzi: Passeggiando","Rock&Heavy","Pioggia","Temporale","Soleggiato","Soleggiato","Nuvoloso","Soleggiato","Soleggiato",,,,,"-",,,,,,,,2,,3,
"LABPROG121219","V1",19,"M","Cassano d adda","Studente","Superiori","SI","Radio: MP3: App streaming","Casa:  Auto: Mezzi","Pop: Classica","Temporale","Soleggiato Caldo Umido","Sereno","Sereno","Pioggia forte","Pioggerella","Neve",,,,,"Nebbia : grigio"," Pioggia :  "," Pioggerella : classica"," Sereno/Soleggiato : colori vivaci"," Nuvoloso : grigio"," Temporale : metal - nero"," Uragano/Nubifragio : metal - nero"," Neve : musica natalizia   bianco",2,,2,
"LABPROG121219","V1",19,"M","Rho","Studente Lavoratore","Superiori","SI","App streaming","Auto: Mezzi: Passeggiando","Rap: Hip hop: Trap","Temporale","Vento","Soleggiato","Soleggiato","Vento","Pioggerella","Neve",,,,,"Nebbia : "," Pioggia :  rap"," Pioggerella : "," Sereno/Soleggiato :  reggaeton/trap"," Nuvoloso : rap"," Temporale :  rap"," Uragano/Nubifragio : "," Neve :",2,,3,"IDEA FANTASTICA: ma generi troppo ristretti : si potrebbe lavorare sulle PLAYLIST"
"LABPROG121219","V1",20,"M","Vignate","Studente","Superiori","SI","MP3","Casa:  Auto: Mezzi: Allenamento","Tutti","Soleggiato","Temporale","Soleggiato","Soleggiato","Temporale","Nebbia: Pioggia","Nuvoloso",,,,,"Nebbia : grigio"," Pioggia :  rock - grigio"," Pioggerella : "," Sereno/Soleggiato :  azzurro"," Nuvoloso : "," Temporale : rock"," Uragano/Nubifragio : rock:metal - grigio "," Neve : classica   bianco",2,,2,
"LABPROG121219","V1",23,"F","Olgiate Olona","Studente","Laurea","SI","CD: MP3","Auto: Mezzi","Tutti","Nuvoloso","Tempesta","Pioggia forte","Soleggiato Caldo","Vento","Pioggerella","Soleggiato",,,,,"Nebbia : grigio"," Pioggia :  indaco"," Pioggerella : verde "," Sereno/Soleggiato :  giallo"," Nuvoloso : avorio"," Temporale : blu"," Uragano/Nubifragio : nero "," Neve : bianco",2,"profumi",2,"<3"
"LABPROG121219","V1",23,"M","Cesate","Studente","Laurea","SI","MP3","Casa: Mezzi: Passeggiando","Strumentale","Pioggerella","Tornado","Soleggiato Caldo","Sereno","Acquazzone","Pioggerella","Neve",,,,,"-",,,,,,,,1,,2,
"LABPROG121219","V1",20,"M","Merate","Studente","Superiori","SI","CD: App streaming","Casa:  Auto: Mezzi","Pop","Temporale","Nubifragio","Soleggiato","Soleggiato","Pioggia","Pioggerella","Neve",,,,,"Nebbia : grigio"," Pioggia :  verde"," Pioggerella : classica - azzurro "," Sereno/Soleggiato :  pop- giallo"," Nuvoloso : "," Temporale : rock - blu"," Uragano/Nubifragio : nero "," Neve : bianco   natalizio",3,,4,
"LABPROG121219","V1",19,"M","Ronco Briantino","Studente","Superiori","SI","CD: MP3","Casa:  Auto: Mezzi: Letto: Allenamento: Passeggiando","Rock: Hard rock: Heavy metal: Christian rock: Pop","Temporale","Uragano","Pioggerella","Soleggiato","Pioggia","Nebbia","Neve",,,,,"Nebbia : christian rock - marrone"," Pioggia :  dupstep - azzurro"," Pioggerella : classica - rosa "," Sereno/Soleggiato :  pop- verde"," Nuvoloso : rock - grigio "," Temporale : hard rock - blu"," Uragano/Nubifragio : heavy metal - nero "," Neve : rock - bianco",3,"mapping area geografica",3,
"SIMONEPERSONALE161219","V1",23,"M","Milano","Impiegato","Superiori","SI","MP3: App streaming","Casa: Auto:Mezzi: Bagno: Letto: Passeggiando","Rock: Hip Hop: Rap","Soleggiato","Pioggia","Soleggiato","Soleggiato","Pioggia forte","Rovesci nevosi","Neve",,,,,"Nebbia : "," Pioggia :  "," Pioggerella :  "," Sereno/Soleggiato :  "," Nuvoloso :  "," Temporale : "," Uragano/Nubifragio : metal  "," Neve : canzoni natalizie",2,,3,"utilizzabile per l uso quotidiano"
"SIMONEPERSONALE161219","V1",53,"F","Milano","Libero Professionista","Laurea","SI","CD: MP3","Casa: Auto: Altro-spiaggia","Pop","Temporale Estivo","-","Sereno","Soleggiato Caldo","Pioggia forte","-","Vento",,,,,"Nebbia : "," Pioggia :  "," Pioggerella : la ragione del mondo "," Sereno/Soleggiato : Maggese "," Nuvoloso :  "," Temporale : The phantom of the opera"," Uragano/Nubifragio : innuendo  "," Neve : painted from memory",3,,3,
"SIMONEPERSONALE161219","V1",23,"M","Vermezzo con Zelo","Studente","Laurea","SI","MP3: App streaming","Casa:  Auto: Bagno","Metal: Hardcore: Rock80","Parzialmente Nuvoloso","Tempesta","Sereno","Soleggiato","Uragano","Pioggia","Pioggerella",,,,,"Nebbia : Doom metal "," Pioggia : gothic metal "," Pioggerella : folk metal "," Sereno/Soleggiato : Power metal "," Nuvoloso : Pagan metal "," Temporale : Death metal "," Uragano/Nubifragio : black metal  "," Neve : symphonic metal",3,,3,
"SIMONEPERSONALE161219","V1",23,"M","Cappella Maggiore","Studente","Laurea","SI","Vinile: MP3: App streaming","Casa: Mezzi: Allenamento","House: Jazz: Breakbeat: Future jazz: Rock: Hip Hop","Nuvoloso","Temporale","Pioggia","Sereno","Nubifragio","Pioggerella","Neve",,,,,"Nebbia : bianco "," Pioggia : punk rock - blu viola "," Pioggerella : jazz - viola rosso "," Sereno/Soleggiato : poprock house - giallo verde "," Nuvoloso : Hip hop - Verde"," Temporale : rock - blu "," Uragano/Nubifragio : metal - rosso  "," Neve : pop - bianco",3,,3,
"SIMONEPERSONALE161219","V1",27,"F","Milano","Impiegato","Laurea","SI","App streaming","Casa: Lavoro: Auto: Mezzi: Bagno: Passeggiando","Pop: Raggaeton: Salsa: Bachata: Rock","Neve","Temporale forte","Pioggerella","Soleggiato: Vento","Grandine","Pioggerella","Neve",,,,,"Nebbia : "," Pioggia :  "," Pioggerella : "," Sereno/Soleggiato : happy(pharrel williams) "," Nuvoloso :  "," Temporale : "," Uragano/Nubifragio : metal  "," Neve : michael buble christmas edition",2,"stati d animo (psicologico)",3,"<3"
"SIMONEPERSONALE161219","V1",54,"M","Milano","Impiegato","Superiori","SI","Radio: MP3: App streaming","Casa: Auto: Allenamento","Pop italiano: Rock melodico","Temporale","Vento","-","Soleggiato Caldo","Grandine","Tromba d aria","Pioggia forte",,,,,"Nebbia : "," Pioggia :  "," Pioggerella : "," Sereno/Soleggiato : samba "," Nuvoloso :  "," Temporale : cavalcata delle valchirie "," Uragano/Nubifragio : "," Neve : ",2,"Frequentazione di un ambiente",3,
"SIMONEPERSONALE161219","V1",23,"M","Milano","Studente","Laurea","SI","App streaming","Casa: Lavoro: Auto: Mezzi: Bagno: Letto: Passeggiando: Altro-in bicicletta","Rock: Classica: Prog: Folk: Indie: Pop","Pioggia","Temporale","Neve","Soleggiato","Temporale","Pioggerella","Neve",,,,,"Nebbia : Post rock "," Pioggia :  "," Pioggerella : LoFi "," Sereno/Soleggiato : "," Nuvoloso :  "," Temporale : "," Uragano/Nubifragio : "," Neve : Canti popolari 30 40",2,,4,"Sarebbe meglio fare il mapping con le proprie playlist"
"SIMONEPERSONALE161219","V1",25,"F","Garbagnate Milanese","Studente","Superiori","SI","Radio: Webradio: CD: MP3: App streaming","Casa: Auto: Letto: Allenamento","Metal: Rock","Prima della tempesta","Neve forte","Pioggia","Nuvoloso","Grandine","Nebbia","Soleggiato",,,,,"-",,,,,,,,2,,4,
"SIMONEPERSONALE161219","V1",24,"F","Albignano","Studente","Laurea","SI","Radio: CD: App streaming","Casa: Lavoro: Auto","Tutti","Vento leggero","Temporale estivo","Pioggerella","Soleggiato","Tempesta","Neve","Neve",,,,,"Nebbia : "," Pioggia : rock  "," Pioggerella : jazz "," Sereno/Soleggiato : reggae "," Nuvoloso :  "," Temporale : metal "," Uragano/Nubifragio : metal "," Neve :",3,,4,
"SIMONEEXTRA211219","V1",24,"M","Milano","Studente","Laurea","SI","CD: MP3: App streaming","Casa:  Auto: Mezzi: Bagno: Passeggiando","Rock: Metal: Folk: Classica: Blues: Antica: Etnica","Tramonto Soleggiato","Sereno (notte)","Soleggiato Caldo","Sereno (notte)","Nuvoloso","Pioggia","Neve",,,,,"Nebbia : "," Pioggia : folk irlandese(reel)  "," Pioggerella :  folk irlandese(reel) "," Sereno/Soleggiato :  "," Nuvoloso : musica antica "," Temporale : blues "," Uragano/Nubifragio : metal "," Neve : folk metal",4,,4,
"SIMONEEXTRA211219","V1",59,"F","Milano","Pensionato","Laurea","NO",,,,"Nebbia","Pioggerella","Sereno","Pioggia","Temporale","Pioggerella","Sereno",,,,,"Nebbia : "," Pioggia :  "," Pioggerella : "," Sereno/Soleggiato :  primavera Vivaldi"," Nuvoloso :  "," Temporale : sinfonica"," Uragano/Nubifragio : "," Neve :",2,"emozioni(?)",2,
"SIMONEEXTRA211219","V1",65,"M","Milano","Pensionato","Obbligo","SI","Radio","Auto: ","Rock","Pioggerella","Uragano","Pioggia","Sereno","Temporale","Nebbia","Neve",,,,,"Nebbia : "," Pioggia :  "," Pioggerella : "," Sereno/Soleggiato :  pop – celeste"," Nuvoloso :  "," Temporale : "," Uragano/Nubifragio : rock – rosso"," Neve :",3,,2,
"UFFICIOAT100120","V2",44,"M","Seregno","Impiegato","Superiori","SI","Vinile: App streaming","Casa: Mezzi: Passeggiando","Tutti","Sereno","Pioggerella",,"Pioggia","Temporale","Fumo","Sabbia",,,,,,,,,,,,,3,"temperatura casa: qualità aria della casa",4,
